"Titel","Omschrijving","datum","begin","einde","Plaats","Indoor","deelnemers"
"CLUB FM 104.5fm & FAMILYRADIO 105.7fm","10 dagen ""Live"" radio vanop de Gentse Feesten, dagelijks van 15u - 22u.",19/07/2011,"14:00","22:00","Oude Vismijn, Sint-Veerleplein 5, Gent",0,100
"BataMatiQ","These are Modern Times. Ook cirQ blijft bij de tijd. Deze zomer draait de vertierindustrie op volle toeren dankzij BataMatiQ. Automatisch amusement voor de meerwaardezoeker.",17/07/2011,"15:00","00:00","park Willem de Beersteeg, Willem de Beersteeg , Gent",0,1000
"Zoektocht in het Miljoenenkwartier (zonder gids)","Vandaag is het Miljoenenkwartier een mondaine woonwijk, net geen 100 jaar geleden was hier een Wereldtentoonstelling. Boekje te koop: Kunstglasramen Mestdagh, Drabstr. 2",18/07/2011,"00:00","00:00","Kortrijksesteenweg /, Gent",0,50
"Museumspel Het Blote Knieënspel","Een zoektocht naar het leven van vroeger. Wat at een rijk kind? Hoe zag een bakkersoven er uit? Waar werkten de kinderen? Met een doeboekje ga je van speelkast naar speelkast. Van 6 tot 12 jaar.",16/07/2011,"10:00","18:00","MIAT, Minnemeers 9, Gent",0,50
"Stadhuis van Gent","Geleid bezoek aan het Stadhuis met aandacht voor Rechtspraak en Gerechtigheid. In samenwerking met de Dienst Monumentenzorg en Architectuur. Inschrijven niet nodig.",23/07/2011,"15:30","16:25","Stadhuis, Botermarkt 1, Gent",0,50
"Om en bij de OLV Sint-Pieterskerk","De Sint-Pieterskerk torent al eeuwen uit boven monniken, Pieterlingen, soldaten, arbeiders, foorgangers en studenten. Neem een kijkje in deze prachtige barokkerk en omgeving.",22/07/2011,"16:00","18:00","Portaal OLV Sint-Pieterskerk, Sint-Pietersplein /, Gent",0,50
"Het Bos","Tijdens het internationaal jaar van de bossen staan we even stil bij alles wat groeit en bloeit in ons arboretum. (Jean Deprez)",20/07/2011,"14:30","16:00","Plantentuin Universiteit Gent, Karel Lodewijk Ledeganckstraat , Gent",1,50
"Buffetformule of BBQ","Soep, saladebar, 10 verschillende Hoofdschotels, diverse desserten. Reservatie bevestigd bij betaling en afhaling kaarten. Zitplaatsen verzekerd !",20/07/2011,"17:30","22:00","Brasserie Het Volk, Poel 7, Gent",0,50
"Ontbijt met akoestische muziekale omkadering met aperitief en tapas","Elke dag een andere muziekant",22/07/2011,"10:30","12:30","Bar Oh, Hoogstraat 88, Gent",1,50
"New Orleans Jazz met The Rudy Balliu  Society Serenaders","Echte,zuivere New Orleans Jazz",22/07/2011,"20:00","00:00","Zaal van K. Roeivereniging Sport Gent, Kanodreef 1, Gent",1,100
"Top Of The Pops","Barbaar: 80' hits & kitsch met Dj’s The Whatevers & Turbo Dave",17/07/2011,"00:00","05:55","Charlatan, Vlasmarkt 6, Gent",0,1000
"Colyton Grammar School (UK - Devon)","Koor",24/07/2011,"10:30","11:30","Sint-Michielskerk, Sint-Michielsplein 1, Gent",0,1000
"De Nico Lenny Show","Voor de éérste maal organiseert vzw Dreidekker Producties ""de Nico Lenny Show"". Humor, zang en dans in een wervelende show met Nico Lenny. Nico laat de Revue herleven samen met vader Bert Lenny en Jong Gents talent: Caressa, Malika en Dansgroep D-Crew",16/07/2011,"20:00","22:30","School De Wingerd, Neermeerskaai 1a, Gent",1,1000
"Belfort - Vertelfort","Tussen de stoffige stenen en de balorige bellen van het Belfort liggen al eeuwen verhalen op jou te wachten. Maar niet meer voor lang. Verteller Veerle Ernalsteen neemt je mee op vertelavontuur.",24/07/2011,"15:00","16:30","Belfort, Sint-Baafsplein , Gent",0,50
"CAFE CHANTANT (ne kier wa anders) met Fred Geirnaert en Ronny Marino","Met Fred Geirnaert en Ronny Marino",17/07/2011,"11:00","13:00","Zaal van K. Roeivereniging Sport Gent, Kanodreef 1, Gent",1,100
"Tangram en andere traditionele kinderspelletjes uit China in de Etnografische Verzamelingen","TANGRAM is een Chinees legspel waarbij figuren kunnen worden gevormd uit geometrische stukken. Met zo’n puzzelstuk in de hand speuren en spelen tussen de museumstukken en in de omsloten kloostertuin.   Ouders zijn welkom!",19/07/2011,"11:00","12:30","Het Pand, Onderbergen 1, Gent",0,50
"Mijn pappie is enkel een foto.   (Miserie, onnoemelijk veel miserie verpakt in meezingers van een onweerstaanbare lichtheid!) advies: Wouter Deprez","Denkt u bij De Zangeres Zonder Naam aan suiker, plastic rozen en pathos? Zie dan hoe Frank Cools in dit heerlijk repertoire duikt: zonder ironie en recht vanuit dat grote hart van hem. Het plezierigste verdriet dat u ooit proefde! Olé!!",17/07/2011,"21:30","22:30","KANTL, Koningstraat 18, Gent",1,100
"Paardenmakers","De Paardenmakers groeten u!",17/07/2011,"23:00","05:00","Kinky Star, Vlasmarkt 9, Gent",0,50
"'Materiële armoede en culturele rijkdom in Afrika' een boeiende ontdekking in de Etnografische Verzamelingen!","In de media wordt het beeld over Afrika bepaald door het cliché van de armoede. Deze expo toont dat Afrikanen creatief zijn in het zoeken van oplossingen om materiële armoede te overstijgen.",20/07/2011,"11:00","17:00","Het Pand, Onderbergen 1, Gent",1,50
"Leiecruise met vrije wandeling te Sint-Martens-Latem","Leietocht met de Beneluxboot op de schilderachtige Leie met één uur stop te Sint-Martens-Latem. Inscheping tussen 12u00 en 12u45. Afvaart om 13u00. Stop te Latem tussen 15u00 en 16u00.Terug in Gent om 17u30. Mogelijkheid tot lunch mits reservatie vooraf.",24/07/2011,"12:00","17:30","Benelux Rederij, Recollettenlei 32, Gent",1,100
"Wandelzoektocht Pasar Gent - Eeklo vzw","De 17e editie van de Wandelzoektocht van Pasar laat je kennismaken met interessante gebouwen en bezienswaardigheden waarbij werknemers centraal staan. Kortom, een boeiende en plezante uitstap voor het ganse gezin!",20/07/2011,"00:00","00:00","Startplaats, Sint-Michielsplein , Gent",0,50
"Leven in Gent/Dallas","Leven in Gent/Dallas - een andere kijk op wonen. De bezoekers van de feesten leren een ander Gent met zijn bewoners kennen. Een Gent voorbij de feestkern die onze perceptie in vraag stelt over hoe wij een sociale woonwijk beleven.",21/07/2011,"14:00","20:00","Ons Huis - Fernandezzaal, Vrijdagmarkt 9, Gent",0,1000
"Zoektocht in het Miljoenenkwartier (zonder gids)","Vandaag is het Miljoenenkwartier een mondaine woonwijk, net geen 100 jaar geleden was hier een Wereldtentoonstelling. Boekje te koop: Kunstglasramen Mestdagh, Drabstr. 2",22/07/2011,"00:00","00:00","Kortrijksesteenweg /, Gent",0,50
"Aan tafel met graaf Pierre Emmanuel d'Hane de Leeuwergem","Het publiek beleeft een dag uit het leven van de familie d'Hane de Leeuwergem en haar personeel in 1778.",21/07/2011,"19:30","21:30","Hotel d'Hane Steenhuyse, Veldstraat 55, Gent",1,50
"ZAALTEKSTEN voor  kinderen","Zaalteksten voor kinderen van 6 tot 12 jaar",18/07/2011,"10:00","18:00","Museum voor Schone Kunsten, Citadelpark , Gent",0,50
"Chansons à la carte met Guido Belcanto en Derek","Van Derek weten we al langer dat hij graag in het Frans zingt, maar dat ook Guido Belcanto een zwak heeft voor het Franse lied is een groter geheim! Samen met muzikanten Yves Meersschaert en Mario Vermandel brengen ze hun favoriete Franstalige chansons.",25/07/2011,"17:30","19:00","Het Huis van Alijn, Kraanlei 65, Gent",0,1000
"Assistentie voor personen met een handicap","Gedurende de volledige periode van de Gentse Feesten is er de mogelijkheid om een gratis assistent te vragen om personen met een handicap te begeleiden om zo de Gentse Feesten te kunnen bezoeken. Dit jaar wordt de assistentie uitgevoerd door vzw Intro.",16/07/2011,"14:00","23:00","AC Zuid, Woodrow Wilsonplein 1, Gent",0,100
"Pietjesbak met Carlos","Met zijn teerlingenbak onder de parasol of paraplu verslaat Carlos sinds 1972 alle weersvoorspellingen.",19/07/2011,"10:00","12:00","Het Huis van Alijn, Kraanlei 65, Gent",0,1000
"The Insect Circus Museum - The Insect Circus (UK)","Sir Ronald McPeak en Lady Bonnie Berkeley zijn de stichters van het Grand Travelling Insect Circus Museum. In een authentieke mahogany Bedfort komen ze ons verbazen met hun bijzonder museum van een insectencircus.",21/07/2011,"15:00","20:00","Sint-Baafssite, Gandastraat , Gent",0,50
"Rondleidingen in Hotel d'Hane Steenhuyse","Uitzonderlijk kan het Hotel d'Hane Steenhuyse - een 18de-eeuws stadspaleis - onder begeleiding van een gids worden bezocht.",17/07/2011,"15:30","16:30","Hotel d'Hane Steenhuyse, Veldstraat 55, Gent",1,100
"Rondleidingen Augustijnenklooster Sint-Stefanus","U krijgt een unieke kans een rondleiding mee te maken door een gids in het prachtige Augustijnenklooster Sint-Stefanus. De binnentuin is prachtig, de bibliotheek een pareltje...",20/07/2011,"11:00","12:00","Augustijnenklooster Sint-Stefanus, Academiestraat 1, Gent",1,50
"Movieguide Filips en Mathilde","Het Gravensteen is een van de topmonumenten van Gent. Via de movieguide ‘Filips en Mathilde’ komt het verre en bewogen verleden van deze versterkte burcht werkelijk tot leven.",21/07/2011,"09:00","18:00","Gravensteen, Sint-Veerleplein , Gent",0,50
" Pietje Puk en de Pakjesdief","Pietje Puk en de Pakjesdief is een vrolijke spannende voorstelling vol muziek, grappige dorpsfiguren, spannende achtervolgingen en nog veel meer dingen die de kinderen en hun ouders een onvergetelijk bezoek aan het kleurrijke Keteldorp zullen bezorgen.",24/07/2011,"15:00","15:45","Theater Tinnenpot, Balkonzaal, Tinnenpotstraat 21, Gent",1,1000
"Circusworkshops voor kleuters","Elke dag van het Jeugdcircusfestival kunnen kleuters, begeleid door een volwassene, gratis proeven van leuke circustechnieken: koorddansen, ballopen, jongleren, ... Doorlopend van 15u tot 18u. Vooraf inschrijven aan het onthaal is verplicht.",20/07/2011,"15:00","18:00","Baudelopark, Bibliotheekstraat 7, Gent",0,50
"Travestieshow Feerie au paradis","Travestieshow maar op zijn parijse wijze met pluimen strass pailletten .Met prachtige  kostuums zoals in de moulin rouge,glamour numers,comische acts,prachtig   decor,sfeervolle zaal.En dit jaar md zaza en haar dancers erbij!",19/07/2011,"20:30","23:30","de kring, Sint-Godelievestraat 59, Wondelgem",1,100
"Radio 2 Avondpost live (16-18)","feestelijke live radio vanop en over  de Gentse Feesten met verrassende studio gasten",25/07/2011,"16:00","18:00","Botermarkt, afspraak aan de trappen voor het stadhuis, Botermarkt z/n, Gent",0,50
"Triplette (Les P'tits Bras, BE)","De topartiesten van Les P'tits Bras brengen een hallucinant circusspektakel. Intense choreografieën, een zeven meter hoge trapeze, eenwielers. Een voorstelling waarbij lachen en huiveren, waanzin en tederheid, spanning en passie dicht bij elkaar liggen.",19/07/2011,"18:00","18:45","Baudelopark, Bibliotheekstraat 7, Gent",0,1000
"Aan tafel met graaf Pierre Emmanuel d'Hane de Leeuwergem","Het publiek beleeft een dag uit het leven van de familie d'Hane de Leeuwergem en haar personeel in 1778.",22/07/2011,"19:30","21:30","Hotel d'Hane Steenhuyse, Veldstraat 55, Gent",1,50
"'Rechtspraak en gerechtigheid.' Themarondleiding in het Stadhuis.","In het stadhuis werd vroeger recht gesproken. Opvallend is het labyrint in de Pacificatiezaal. Die banmijl kon een aantal keren worden afgelegd als straf voor sommige overtreders van de wet.",23/07/2011,"16:30","17:15","Stadhuis, Botermarkt 1, Gent",0,50
"Disqu'au Zodiac","DJ Glenn: Dance till daylight: D.I.S.C.O. nouveau & ietsje retro: I don't feel like dancing...? Think again!! Dress-code = Flashy & glitter",20/07/2011,"23:00","05:00","Zodiac, Heilige-Geeststraat 3, Gent",1,1000
"TopTalent","In de musical TopTalent volgen we een aantal would-be popsterren die deelnemen aan een talentenjacht op televisie en koste wat het kost willen winnen.",18/07/2011,"20:00","21:30","CAPITOLE GENT, Graaf van Vlaanderenplein 5, Gent",1,1000
"...Senza Che??? - Piano C (IT)","Een dynamisch duo dat niets bezit maar in alles een mogelijkheid ziet om hun vrijheid ten volle te beleven. Hun poëzie doet je nadenken en de bizarre situaties waarin ze belanden maken je gegarandeerd aan het lachen.",22/07/2011,"18:15","18:55","Spaanskasteelplein , Gent",0,1000
"Travestiespektakel Les femmes fatales Gentse feesten 2011","unieke travestieshow met prachtige kostuums, ambiancevolle acts en komische live sketches. Onze zeer succesvolle showqueens brengen een show met een lach en een traan waarna u met een fijn gevoel naar huis keert.",22/07/2011,"19:00","23:30","Dienstcentrum Gentbrugge, Braemkasteelstraat 35, Gentbrugge",0,100
"Portus Ganda","Het dorp waaruit de stad Gent ontstond werd door Keizer Karel met 1 pennestreek uitgewist. De wijk geeft zich bloot: de ruïnes van abdij en latere citadel, de haven- en textielindustrie, het slachthuis met overdekte veemarkt, ...",19/07/2011,"19:00","21:00","Oude Beestenmarkt, Oude Beestenmarkt 1, Gent",0,50
"'En Het Grootste Deel Schreven we Samen in Bed'","Voor het vierde jaar op rij brengt het Gentse dichterscollectief 'De Wolven van La Mancha' tien dagen lang een poëtische oase in het hart van de binnenstad. Een plek waar woord en beeld voor verwondering zorgen: uitdagend, bloedstollend mooi en gratis.",25/07/2011,"17:00","02:00","Los Perros Calientes, Goudstraat 2, Gent",1,50
"Rondvaarten in de Gentse binnenstad","Rondvaarten in de Gentse binnenstad - 40 minuten. Tijdens de rondvaart ontvangen de eerste 250 klanten een gratis Vedett.  Vertrek & aankomst : Graslei-Gent Watertoerist   Prijs : € 6,50 Volw / € 5,50 Gentenaar / € 3,50 kinderen (-12 jaar)",20/07/2011,"11:00","19:00","Aanlegsteiger Gent Watertoerist, Graslei , Gent",0,50
"Robert Schumann: Märchenerzählungen Op. 132 & Max Bruch: Acht Stukken Op. 83","met A. Pavtchinskij, V. Pavtchinskij en Timur Sergeyenia",20/07/2011,"20:00","21:00","KANTL, Koningstraat 18, Gent",0,50
"Ienmoal, andermoal…ADZJUZEE!","Luk De Bruyker kruipt in de huid van de verkoper van het veilinghuis DVC om het erfgoed van Theater Taptoe te verkopen… maar lukt hem dat wel? In deze productie wordt hij opnieuw Romain Deconinck, Scrooge, Saint Exupéry en komen heelwat poppen tot leven.",21/07/2011,"19:00","20:15","DVC veilinghuis, Burgstraat 20/22, Gent",1,100
"Verhaaltjes à la carte","Improvisatietheater tussen pot en pint: Stel zelf je menu samen! Een improvisatieverteller maakt er een pakkend verhaal van.",24/07/2011,"16:00","18:00","café de loge, Annonciadenstraat 5, Gent",1,50
"Theater op het water i.s.m. theater Trac - ""Ganda Historica""","De toeschouwers worden per open boot naar de acteurs gebracht.Met ""Ganda Literatura"" wordt aandacht besteed aan de Gentse schrijvers Maurice Maeterlinck, Jean Ray, Cyriel Buysse,gezusters Loveling.   Prijs : € 10,00/pers.Reservatie verplicht.",24/07/2011,"18:30","19:30","Aanlegsteiger Gent Watertoerist, Graslei , Gent",0,50
"De muzikant zit in de put","Enkele intieme akoestische concertjes, tête à tête met de muzikant(en) in de zitput, het salon, het binnenterras of een ander hoekje van café de loge.",17/07/2011,"18:00","19:00","café de loge, Annonciadenstraat 5, Gent",1,50
"Lieven Tavernier","Lieven Tavernier boetseert breekbare liedjes die je laten wegdromen. Wonderlijk, ontroerend, pakkend, mild, scherp en accuraat.",24/07/2011,"22:00","23:30","Monasterium Poortackere, Oude Houtlei 56, Gent",0,1000
"St. Jacobskerk","De 4de grote Kerk van de Gentsche Kuip is de St Jacobskerk, vertrekpunt voor de bedevaarders naar Compostella. De sacramentenstoren, de grafmonumenten, de straalkapellen o.a. van de Trinitariërs of Slavenvrijkopers maken van deze kerk een geheel.",20/07/2011,"10:00","11:30","Kerk Sint Jacobs, ingang kant Rommelmarkt, Bij Sint-Jacobs -, Gent",0,50
"Elga - Het Panopticum","Elga – Het Panopticum dompelt jou onder in de historiek van Gent waar revolutionaire figuren het voortouw namen. Dit levend museum vind je op de speelplaats van het SKI palend aan het Baudelohof. Een productie in samenwerking met het Vermeylenfonds.",25/07/2011,"16:00","16:40","secundair kunstintituut - speelplaats - ingang via Baudelohof, Ottogracht 4, Gent",0,50
"Verliefd op Gent, of op het punt het te worden?","Luchtige initiatie-rite tot het statuut van Gentenaar. Sterk aanbevolen voor al wie graag in Gent blijft plakken en zich een muileke Gents wil eigen maken",19/07/2011,"19:00","20:00","Aanlegsteiger De Bootjes Van Gent - Rederij Dewaele, Korenlei , Gent",0,1000
"Vlaanderenstraat: de comeback van een 19e eeuwse boulevard","Ontdek de herwaardering van deze straat, die na een megalomaan urbanisatieplan in de 19e eeuw het historische hart van de stad blijft verbinden met de Zuid.",20/07/2011,"14:00","16:00","Standbeeld Lieven Bauwens, Lieven Bauwensplein /, Gent",0,50
"Het Maeterlinck Mysterie","Ludiek-poëtische, theatrale stadswandeling in de voetsporen van Nobelprijs Literatuur 1911 Maurice Maeterlinck, die in 1895 een eerste rendez-vous had in Gent met zijn grote liefde Georgette Leblanc... en met Gerard de Duivel!",16/07/2011,"14:30","18:00","Zuidpark, Woodrow Wilsonplein , Gent",0,50
"Met de wind van achter - Over Flandriens, wielerterroristen en nadarsletjes","Koers is de ziel van België en het hart van Vlaanderen. Karel Declercq is cabaretier en pa van 2 renners. Steek een motor in uw frame en smeer uw kuiten. Karel imiteert koersfiguren en zet u op de fiets. Koers komisch bekeken. Grappig en ontroerend. Maandag 18 juli rustdag in de Tour !",19/07/2011,"20:00","21:20","François Laurentinstituut, Onderstraat 10, Gent",0,100
"Filmvoorstelling: documentaire Mugo: prentenmaker en speelgoedcollectionneur","hoofdrol Mugo",24/07/2011,"14:00","18:00","Zebrastraat NV, Zebrastraat 32/001, Gent",1,100
"Rondleidingen in de Etnografische Verzamelingen: Levenswijsheid en geluk! Verrassende voorwerpen uit het traditionele China","Enthousiaste gidsen vertellen bijzondere verhalen over voorwerpen uit het vroegere China. Ga mee op avontuur in de rijke wereld van de Aziatische cultuur en kom in contact met de oosterse wijze van denken en leven en raak vertrouwd met hun esthetiek.",19/07/2011,"11:00","12:30","Het Pand, Onderbergen 1, Gent",0,50
"Prinses gezocht","Actrices Niki De Sitter & Léonthine van Wassenhove sloegen voor ‘Prinses gezocht’ de handen in elkaar en werkten een kindervoorstelling van de bovenste plank uit!",19/07/2011,"15:00","16:00","Bij' De Vieze Gasten, Haspelstraat 31, Gent",1,100
"Café-Chantant","Een mengelmoes van Gentse liedjes. Zitplaats niet verzekerd zonder ontbijt",25/07/2011,"11:00","13:00","Brasserie Het Volk, Poel 7, Gent",0,50
"Tentoonstelling ""Esprit Porcelaine""","Het kunstcollectief ""Esprit Porcelaine"" blaast ""Les arts de la table"", door hun samenwerking met de porseleinfabrieken in Limoges, nieuw leven in. De ontwerpen illustreren de technische vaardigheden die nodig zijn om tot hoogstaande kwaliteit te komen.",22/07/2011,"10:00","18:00","Design Museum Gent, Jan Breydelstraat 5, Gent",0,1000
"Casablanca 1942 Party","Op den vooravond des Nationalen Feestdags! Ivan van Wassenhove (lindy hop initiatie), Amber and the Blue Diamonds (live Jazzband), Stompin’ Stoff & Balcony Jens (dj's- jazz, swing, lindy hop, jive, slows, jitterbug, etc). http://www.casablancaparty.be",20/07/2011,"18:00","03:00","feestzaal Cocteau, Jan Palfijnstraat 17, Gent",1,1000
"Café-Chantant","Een mengelmoes van Gentse liedjes. Zitplaats niet verzekerd zonder ontbijt",21/07/2011,"11:00","13:00","Brasserie Het Volk, Poel 7, Gent",0,50
"Waldorf","Gratis caféconcert: Gentse stoner/rock band rond Wolf van The Van Jets – op en tot Charlatan!",18/07/2011,"21:00","22:00","Charlatan, Vlasmarkt 6, Gent",1,1000
"Leute","Theaterfenomeen SEF (wok bekend als Jozef Vanneste). Een menselikke vwoorstellinge uut het leven gegrepen, met ne lach en ne troan wok toegankelijk en begrijpelijk voe niet-West-Vlaomingen wei! Ge moe geweun kom! tot ton",18/07/2011,"15:00","16:20","Tinnenpot, Tinnenpotstraat 21, Gent",1,100
"Fototentoonstelling: Gent van alle markten thuis in Malawi","Een fototentoonstelling van prachtige beelden gemaakt in Malawi. Je kan op deze manier kennismaken met de projecten die vzw Kwasa Kwasa steunt in Malawi.",22/07/2011,"13:00","19:00","Wolterslaan 16, Sint-Amandsberg",0,50
"Buffetformule of BBQ","Soep, saladebar, 10 verschillende Hoofdschotels, diverse desserten. Reservatie bevestigd bij betaling en afhaling kaarten. Zitplaatsen verzekerd !",21/07/2011,"17:30","22:00","Brasserie Het Volk, Poel 7, Gent",0,50
"Comedy voor Kids","Al vijf jaar op rij een uitverkocht succes op de Feesten! De enige familievoorstelling die iedere keer verrast: de plezanteriken op het podium maken sketches en liedjes op basis van jouw ideeën. Laureaat Kinderjuryprijs Gentse Feesten. Van 8 tot 88 jaar.",24/07/2011,"15:00","16:00","Hof Van Ryhove, Onderstraat 20, Gent",1,100
"Hotel Jarretelle","De langbenige Pascale Platel verhuurt u graag een kamer voor de nacht en gluurt met u door het sleutelgat naar haar extravagante gasten. Delicieuse dames, burlesque bunnies en drinks on the rocks, welkom in onze cabareteske suite deluxe!",22/07/2011,"22:00","23:30","Balzaal, Vooruit, Sint-Pietersnieuwstraat 23, Gent",1,1000
"Iets om van te huilen","Debbie Crommelinck  (""Amika"") & Bert Verbeke (""Thuis"") spelen de hoofdrollen in een toneelstuk van de hand van Jibbe Willems. De regie is in handen van Frans Hendrickx.",23/07/2011,"22:00","23:15","Minardschouwburg, Walpoortstraat 15, Gent",0,50
"PR (Circusplaneet, jeugdcircus)","PR is een circusvoorstelling gebracht door de jongeren van Circusplaneet. PR gaat over de relatie tussen een artiest en zijn publiek, de man en de maatschappij, de meester en de leerling, de groep en het individu. Komt dat zien!",18/07/2011,"15:00","15:30","Baudelopark, Bibliotheekstraat 7, Gent",0,1000
"Prietproat, blabla en andere ziever.","Gentse feestenrevue met grappen en sketches in 't schuun Gents door de Kloaverkes met als onderwerp TAAL in al zijn vormen. De show wordt afgewisseld met liedjes van BETSY en komische goochelacts van het duo ROBINI en BALDARNY. Muziek: Marco's orkest.",23/07/2011,"19:30","22:45","VIP School, Martelaarslaan 13, Gent",0,50
"Over blauw bloed en witte billenbijters - zoektocht in het Prinsenhof (zonder gids)","Prinsenhof: meer dan het oord van verdoemenis waar de Gentenaars stroppendragers werden. Een duik in de geschiedenis van deze mooie wijk! Boekje te koop: Kunstglasramen Mestdagh, Drabstr. 2",16/07/2011,"00:00","00:00","Lievekaai /, Gent",0,50
"La ville qui respire - Rode Boom (BE) - € 6","‘La ville qui respire’ is een wandelvoorstelling waarbij een gids met behulp van poëtische zoekers u de stad toont. U neemt de tijd om alledaagse dingen in een andere context te zien. Gent, door de ogen van een poëet.",24/07/2011,"16:15","17:00","Sint-Baafssite, Gandastraat , Gent",0,50
"Bert Gabriëls - TRY-OUT Druk, druk, druk","Bert Gabriëls serveert een try-out : een opeenstapeling van herkenbare situatie-comedy, grappige kritische bedenkingen bij onze kleine onhebbelijkheden, rake klappen aan de verzuurde samenleving en natuurlijk een flinke dosis absurde humor.",16/07/2011,"22:30","23:50","Domzaal - Kunstencentrum Vooruit, Sint-Pietersnieuwstraat 23, Gent",1,1000
"Anders durven bewegen, voelen, denken?","#NAME?",22/07/2011,"11:00","12:30","Feldenkrais Gent, Kliniekstraat 69, Gentbrugge",1,50
"Lancelot & Genoveva","Een amateur gezelschap krijgt een opdracht van een Vlaamse Televisie zender om een middeleeuws spektakel te brengen. Zij hebben één week de tijd om dit te realiseren. Al gauw lopen de repetities in het honderd. Auteur & Regie: Frans De Bruyckere",17/07/2011,"15:00","17:30","Kring Heilig Hart, Heilig-Hartstraat 2, Sint-Amandsberg",0,50
"Belleman Jean-Pierre Van De Perre","Belleman te zien in het straatbeeld is ter beschikking van de bevolking en feestvierders bij de rondgang van de stroppendragers.",25/07/2011,"16:00","20:00","Feestzone, Belfortstraat , Gent",0,50
"Havenrondvaarten met het havenjacht ""Jacob van Artevelde""","Ga tijdens de Gentse Feesten mee op verkenning in de haven. We starten aan de Rigakaai en varen helemaal tot aan ArcelorMittal.  U maakt kennis met alle dokken en met alle belangrijke spelers zoals oa Volvo, Stora Enso, Bio Base Europe, enz",23/07/2011,"12:30","14:00","Rigakaai - tegenover WEBA, Rigakaai 0375, Gent",1,100
"Siegfried Bracke","Spraakmakende gesprekken met opvallende Gentenaars",18/07/2011,"13:00","14:00","EFTC , Trommelstraat 1 te Gent, Trommelstraat 1, Gent",1,100
"GELEGENHEIDSRESTAURANT Augustijnenklooster","Dagelijks gelegenheidsrestaurant tussen 12.00u en 15.00u ten voordele van de Afrikaprojecten van de Paters Augustijnen",22/07/2011,"12:00","15:00","Augustijnenklooster Sint-Stefanus, Academiestraat 1, Gent",1,100
"Casa Bordo","Voklstoneel-komedie in drie bedrijven van Lea Van Volsem. In 't Gents In ""De Buurtlloods"" Patrijsstraat 10, Gent. Mariette wordt de erfgename van een heel speciale erfenis .",20/07/2011,"19:30","22:30","De Buurtloods,, Patrijsstraat 10, Gent",0,50
"Filmvoorstelling ""An inconvenient Truth""","De gefilmde presentatie waarmee Al gore de wereld rondtrok om zijn ongerustheid te ventileren over klimaatverandering en zijn gevolgen...",24/07/2011,"10:30","12:00","Augustijnenklooster Sint-Stefanus, Academiestraat 1, Gent",1,50
"Provinciale Prijs voor Vormgeving 2010","Tentoonstelling met werk van Erik Sijmons, Leen Depooter en het duo Luc d’Hanis & Sofie Lachaert, laureaat en genomineerden van de zevende editie van Provinciale Prijs voor Vormgeving",23/07/2011,"10:00","17:00","Caermersklooster, Vrouwebroersstraat 6, Gent",0,50
"Gent op z'n kookpunt (zoektocht zonder gids)","Wat zat er vroeger in de kookpot? Waarom gebruiken we eigenlijk bestek? Hoe ontstond Gentse waterzooi?   Boekje te koop bij Kunstglasramen Mestdagh, Drabstr. 2",20/07/2011,"00:00","00:00","Korenlei 1, Gent",0,50
"TopTalent","In de musical TopTalent volgen we een aantal would-be popsterren die deelnemen aan een talentenjacht op televisie en koste wat het kost willen winnen.",21/07/2011,"15:00","16:30","CAPITOLE GENT, Graaf van Vlaanderenplein 5, Gent",1,1000
"Muzikale verpozingen 2011 - Tentoonstelling - De horizon voorbij' - schilderwerken van Jan J.M. Van Saene (B - Lede)","In de zijbeuken van de Sint-Michielskerk is er een tentoonstelling rond kunst en religie met schilderwerken van Jan J.M. Van Saene. De tentoonstelling draagt de titel: 'De horizon voorbij'. Vrije toegang.",18/07/2011,"14:00","18:00","Sint-Michielskerk, Sint-Michielsplein 1, Gent",0,1000
"Travestieshow Les Folles de Gand","Travestieshow onder leiding van Miss Michelle. Glitter, glamour en humor. Sketches met Cabaret oester. Stemmenimitator Steve Ryckier. Airco in de zaal en hapjes te verkrijgen. Géén show op 17 juli",20/07/2011,"20:30","23:15","Centrum Reinaert, Reinaertstraat 28, Gent",1,1000
"Bijzondere Bomenwandeling","Ook stadsbomen hebben een verhaal te vertellen: ze vormen kerken of kandelaars, bieden zuurstof en bescherming… Laat de bladeren ruisen en leer onze bomen kennen op een tochtje langs de gezelligste groenplekjes van de stad.",19/07/2011,"14:30","16:30","Wit poortgebouwtje, Voorhoutkaai 43, Gent",0,50
"Team 36","Anya, Rebecca en Tania zijn 3 zotte vrouwen die van theater, improvistatie en Smack the Pony houden en dolgraag spelen, het resultaat is '36'",19/07/2011,"17:00","18:10","Tinnenpot, Tinnenpotstraat 21, Gent",0,1000
"Speciale rondleiding ‘Achter de schermen’ in de Etnografische Verzamelingen.","Hoe wordt een voorwerp een museumstuk? Komt elke gift in een vitrine? Werp eens een blik in de reserves. Pas zelf een paar witte handschoenen en betast eens een voorwerp en kom meer te weten over conservatie.   Plaatsen beperkt; reserveren verplicht!",23/07/2011,"14:00","15:30","Het Pand, Onderbergen 1, Gent",0,50
"Sneukelen met Stijl","Een stadswandeling vol anekdotes en weetjes langs historische bezienswaardigheden… en lokale speciaalzaakjes! Want er mag ook duchtig geproefd worden: wij laten ons een drietal keer verwennen met lekkere sneukeltjes.",20/07/2011,"11:00","13:00","Infostand Vizit, Corduwaniersstraat 4, Gent",0,50
